id,key,value,type
137244224,highway,turning_circle,regular
137244639,highway,turning_circle,regular
137246581,highway,turning_circle,regular
137247531,highway,traffic_signals,regular
137247531,traffic_signals,signal,regular
137247658,highway,traffic_signals,regular
137247658,traffic_signals,signal,regular
137247718,highway,traffic_signals,regular
137247718,traffic_signals,signal,regular
137248621,highway,turning_circle,regular
137249028,highway,traffic_signals,regular
137249606,noexit,yes,regular
137250540,highway,turning_circle,regular
137250962,source,Bing,regular
137250962,highway,turning_circle,regular
137251029,highway,turning_circle,regular
137251037,highway,turning_circle,regular
137252000,highway,turning_circle,regular
137252140,highway,turning_circle,regular
137253761,highway,turning_circle,regular
137253859,highway,turning_circle,regular
137254530,source,Yahoo,regular
137254530,highway,turning_circle,regular
137254580,highway,turning_circle,regular
137254598,highway,turning_circle,regular
137254652,highway,turning_circle,regular
137254824,highway,turning_circle,regular
137254874,source,Bing,regular
137254874,highway,turning_circle,regular
137255737,highway,turning_circle,regular
137255885,highway,turning_circle,regular
137256864,highway,turning_circle,regular
137257548,highway,turning_circle,regular
137257948,highway,turning_circle,regular
137258057,highway,turning_circle,regular
137258737,highway,turning_circle,regular
137259059,highway,turning_circle,regular
137259657,highway,turning_circle,regular
137259674,highway,turning_circle,regular
137259733,source,bing,regular
137259733,highway,turning_circle,regular
137259759,highway,turning_circle,regular
137261129,highway,turning_circle,regular
137261416,highway,turning_circle,regular
137261453,source,Bing,regular
137261453,highway,turning_circle,regular
137262142,highway,traffic_signals,regular
137262142,crossing,traffic_signals,regular
137262275,highway,traffic_signals,regular
137263731,highway,turning_circle,regular
137264094,highway,turning_circle,regular
137264448,source,Bing,regular
137264448,highway,turning_circle,regular
137265368,highway,turning_circle,regular
137265762,highway,turning_circle,regular
137265891,source,Bing,regular
137265891,highway,turning_circle,regular
137266273,highway,turning_circle,regular
137268263,highway,turning_circle,regular
137269145,source,Yahoo,regular
137269145,highway,turning_circle,regular
137269361,highway,traffic_signals,regular
137269991,highway,turning_circle,regular
137270025,noexit,yes,regular
137271263,source,Bing,regular
137271263,highway,turning_circle,regular
137271285,source,Bing,regular
137271285,highway,turning_circle,regular
137271653,highway,turning_circle,regular
137271888,highway,turning_circle,regular
137272077,highway,turning_circle,regular
137272232,highway,turning_circle,regular
137274127,highway,turning_circle,regular
137274571,source,Bing,regular
137274571,highway,turning_circle,regular
137274711,highway,turning_circle,regular
137275764,highway,turning_circle,regular
137276932,highway,turning_circle,regular
137277142,highway,turning_circle,regular
